anime_id,genre,type,episodes,rating,members
32281,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630
5114,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665
28977,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262
9253,"Sci-Fi, Thriller",TV,24,9.17,673572
9969,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266
32935,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351
11061,"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855
820,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679
15335,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534
15417,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109
4181,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749
28851,"Drama, School, Shounen",Movie,1,9.05,102733
918,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376
2904,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888
28891,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342
199,"Adventure, Drama, Supernatural",Movie,1,8.93,466254
23273,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397
24701,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894
12355,"Fantasy, Slice of Life",Movie,1,8.84,226193
1575,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151
263,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670
44,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307
1,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824
30276,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458
164,"Action, Adventure, Fantasy",Movie,1,8.81,339556
7311,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297
17074,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959
21939,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351
457,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030
2001,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962
245,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487
32983,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865
5258,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995
28957,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266
11665,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431
431,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186
11741,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973
31757,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347
19,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562
12365,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620
1535,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917
